smiles
CC(=C)[C@H]1CCC(=CC1)C
CC(=CCC/C(=C\CO)/C)C
CC(=O)C1=CC=CC=C1
CC1=CC[C@H](CC1=O)C(=C)C
CCc1c[n+]2ccc3c4ccccc4[nH]c3c2cc1
Cc1oc(C)c(SC(=O)c2occc2)c1
